2024-12-14 20:43:42,164 [INFO] [drawCell] drew cell at Row=13, Col=3, Color=blue.
2024-12-14 20:43:42,164 [INFO] [drawCell] drew cell at Row=13, Col=4, Color=blue.
2024-12-14 20:43:42,165 [INFO] [drawCell] drew cell at Row=13, Col=5, Color=blue.
2024-12-14 20:43:42,165 [INFO] [drawCell] drew cell at Row=13, Col=6, Color=blue.
2024-12-14 20:43:42,166 [INFO] [drawCell] drew cell at Row=13, Col=7, Color=blue.
2024-12-14 20:43:42,166 [INFO] [drawCell] drew cell at Row=13, Col=8, Color=blue.
2024-12-14 20:43:42,166 [INFO] [drawCell] drew cell at Row=13, Col=9, Color=blue.
2024-12-14 20:43:42,167 [INFO] [drawCell] drew cell at Row=14, Col=0, Color=blue.
2024-12-14 20:43:42,167 [INFO] [drawCell] drew cell at Row=14, Col=1, Color=blue.
2024-12-14 20:43:42,167 [INFO] [drawCell] drew cell at Row=14, Col=2, Color=blue.
2024-12-14 20:43:42,168 [INFO] [drawCell] drew cell at Row=14, Col=3, Color=blue.
2024-12-14 20:43:42,168 [INFO] [drawCell] drew cell at Row=14, Col=4, Color=blue.
2024-12-14 20:43:42,168 [INFO] [drawCell] drew cell at Row=14, Col=5, Color=blue.
2024-12-14 20:43:42,169 [INFO] [drawCell] drew cell at Row=14, Col=6, Color=blue.
2024-12-14 20:43:42,170 [INFO] [drawCell] drew cell at Row=14, Col=7, Color=blue.
2024-12-14 20:43:42,171 [INFO] [drawCell] drew cell at Row=14, Col=8, Color=blue.
2024-12-14 20:43:42,172 [INFO] [drawCell] drew cell at Row=14, Col=9, Color=blue.
2024-12-14 20:43:42,173 [INFO] [drawFallingPiece] drawing the falling piece
2024-12-14 20:43:42,174 [INFO] [drawCell] drew cell at Row=0, Col=4, Color=yellow.
2024-12-14 20:43:42,174 [INFO] [drawCell] drew cell at Row=0, Col=5, Color=yellow.
2024-12-14 20:43:42,175 [INFO] [drawCell] drew cell at Row=1, Col=5, Color=yellow.
2024-12-14 20:43:42,175 [INFO] [drawCell] drew cell at Row=1, Col=6, Color=yellow.
2024-12-14 20:43:42,176 [INFO] [init] game initialized
2024-12-14 20:43:42,177 [INFO] [timerFired] timer ticked
2024-12-14 20:43:42,177 [INFO] [moveFallingPiece] piece moved: (1, 0). New position: (1, 4)
2024-12-14 20:43:42,177 [INFO] [removeFullRows] 0 rows removed. Score updated: 0
2024-12-14 20:43:42,178 [INFO] [drawGame] drawing game
2024-12-14 20:43:42,179 [INFO] [drawTetrisBoard] drawing the Tetris board
2024-12-14 20:43:42,179 [INFO] [drawCell] drew cell at Row=0, Col=0, Color=blue.
2024-12-14 20:43:42,180 [INFO] [drawCell] drew cell at Row=0, Col=1, Color=blue.
2024-12-14 20:43:42,180 [INFO] [drawCell] drew cell at Row=0, Col=2, Color=blue.
2024-12-14 20:43:42,180 [INFO] [drawCell] drew cell at Row=0, Col=3, Color=blue.
2024-12-14 20:43:42,181 [INFO] [drawCell] drew cell at Row=0, Col=4, Color=blue.
2024-12-14 20:43:42,181 [INFO] [drawCell] drew cell at Row=0, Col=5, Color=blue.
2024-12-14 20:43:42,181 [INFO] [drawCell] drew cell at Row=0, Col=6, Color=blue.
2024-12-14 20:43:42,181 [INFO] [drawCell] drew cell at Row=0, Col=7, Color=blue.
2024-12-14 20:43:42,182 [INFO] [drawCell] drew cell at Row=0, Col=8, Color=blue.
2024-12-14 20:43:42,183 [INFO] [drawCell] drew cell at Row=0, Col=9, Color=blue.
2024-12-14 20:43:42,184 [INFO] [drawCell] drew cell at Row=1, Col=0, Color=blue.
2024-12-14 20:43:42,184 [INFO] [drawCell] drew cell at Row=1, Col=1, Color=blue.
